"0","Ahmed","Alameddine","19","1123 Bertram Crest","BLACKTOWN","2070","20181007_230450.jpg","1/01/1969","20/05/2011","6","82912011","aainpj@katkatkata.com.au","420111000","Betty Holmes Sina","1/01/2011","17/10/2015"
"1","Yeo","Man","20","10 As St","YAGOONA","2001","20180720_213552.jpg","1/02/1969","1/01/1900","2","82912011","bj@net.com","420111001","Ursala Jones","2/01/2010","1/01/2013"
"2","Leo","Las","21","200 Call Ave","BANKSTOWN","2001","20171014_201326.jpg","1/03/1969","22/05/2010","3","82912012","hty@out.com","420111002","Bob Ropes","3/01/2010",""
"3","Aop","Bart","19","3 Indigo St","EASTWOOD","2001","20150723_214054.jpg","1/04/1969","23/05/2010","1","82912013","aa@niet.com","420111003","Wendy Bones","4/01/2010",""
"4","Ahmed","Alameddine","19","11 Bert Crest","ARMADALE","2001","20181007_230450.jpg","1/05/1969","24/05/2010","2","82912014","aj@k.co","420111004","Henry Lones","5/01/2010",""
"5","Yeo","Man","20","10 As St","INGLEWOOD","2001","20180720_213552.jpg","1/06/1969","25/05/2010","2","82912015","bj@net.com","420111005","Peter Pietre","6/01/2010",""
"6","Leo","Las","21","200 Call Ave","LONDON","2001","20171014_201326.jpg","1/07/1969","26/05/2010","2","82912016","hty@out.com","420111006","Luke Fake","7/01/2010",""
"7","Aop","Bart","19","3 Indigo St","ESPERANCE","2001","20150723_214054.jpg","1/08/1999","27/05/2010","3","82912017","aa@niet.com","420111007","Kevin Indigo","8/01/2010",""
"8","Ahmed","Alameddine","19","11 Bert Crest","HARBERFIELD","2001","20181007_230450.jpg","1/09/1999","28/05/2010","4","82912018","jahdn@right.net.au","420111008","Ian Denegene","9/01/2010",""
"9","Yeo","Man","20","10 As St","BRADFIELD","2001","20180720_213552.jpg","1/10/1999","29/05/2010","2","82912019","hijr@rel.org","420111009","Omar Stevenson","10/01/2010",""
"10","Leo","Las","21","200 Call Ave","NEWCASTLE","2001","20171014_201326.jpg","1/11/1999","30/05/2010","3","82912020","jump@bing.net","420111010","AI Burrows","11/01/2010",""
"11","Aop","Bart","19","3 Indigo St","HUNTER","2001","20150723_214054.jpg","1/12/1999","31/05/2010","2","82912021","inti@kaf.com","420111011","Mohammed Hafiz","12/01/2010","1/01/2018"
"12","Ahmed","Alameddine","19","11 Bert Crest","MCDONALDTOWN","2001","20181007_230450.jpg","1/01/2000","1/06/2010","1","82912022","jahdn@right.net.au","420111012","Omaha Andrews-Pins","13/01/2010",""
"13","Yeo","Man","20","10 As St","BATHURST","2001","20180720_213552.jpg","1/02/2000","2/06/2010","2","82912023","hijr@rel.org","420111013","Jackson Bederfield","14/01/2010",""
"14","Leo","Las","21","200 Call Ave","NEW ENGLAND","2001","20171014_201326.jpg","1/03/2000","3/06/2010","3","82912024","jump@bing.net","420111014","Betty Holmes","15/01/2010",""
"15","Aop","Bart","19","3 Indigo St","BALMAIN","2001","20150723_214054.jpg","1/04/2000","4/06/2010","4","82912025","inti@kaf.com","420111015","Ursala Jones","16/01/2010",""
"16","Ahmed","Alameddine","19","11 Bert Crest","YAGOONA","2001","20181007_230450.jpg","1/05/2000","5/06/2010","2","82912026","aj@k.co","420111016","Bob Ropes","17/01/2010",""
"17","Yeo","Man","20","10 As St","BANKSTOWN","2001","20180720_213552.jpg","1/06/2000","6/06/2010","2","82912027","bj@net.com","420111017","Wendy Bones","18/01/2010","1/01/2013"
"18","Leo","Las","21","200 Call Ave","EASTWOOD","2001","20171014_201326.jpg","1/07/2000","7/06/2010","1","82912028","hty@out.com","420111018","Henry Lones","19/01/2010",""
"19","Aop","Bart","19","3 Indigo St","ARMADALE","2001","20150723_214054.jpg","1/08/2000","8/06/2010","1","82912029","aa@niet.com","420111019","Peter Pietre","20/01/2010",""
"20","Ahmed","Alameddine","19","11 Bert Crest","INGLEWOOD","2001","20181007_230450.jpg","1/09/2000","9/06/2010","1","82912030","aj@k.co","420111020","Luke Fake","21/01/2010",""
"21","Yeo","Man","20","10 As St","LONDON","2001","20180720_213552.jpg","1/10/2000","10/06/2010","3","82912031","inti@kaf.com","420111021","Kevin Indigo","22/01/2010",""
"22","Leo","Las","21","200 Call Ave","ESPERANCE","2001","20171014_201326.jpg","1/11/2001","11/06/2010","4","82912032","jahdn@right.net.au","420111022","Ian Denegene","23/01/2010",""
"23","Aop","Bart","19","3 Indigo St","HARBERFIELD","2001","20150723_214054.jpg","1/12/2001","12/06/2010","3","82912033","hijr@rel.org","420111023","Omar Stevenson","24/01/2010",""
"24","Ahmed","Alameddine","19","11 Bert Crest","BRADFIELD","2001","20181007_230450.jpg","1/01/2002","13/06/2010","4","82912034","jump@bing.net","420111024","AI Burrows","25/01/2010",""
"25","Yeo","Man","20","10 As St","NEWCASTLE","2001","20180720_213552.jpg","1/02/2002","14/06/2010","3","82912035","indigo@hatred.wrong","420111025","Mohammed Hafiz","26/01/2010",""
"26","Leo","Las","21","200 Call Ave","HUNTER","2001","20171014_201326.jpg","1/03/2002","15/06/2010","2","82912036","blue.jank@rainbow.gov","420111026","Omaha Andrews-Pins","27/01/2010",""
"27","Aop","Bart","19","3 Indigo St","MCDONALDTOWN","2001","20150723_214054.jpg","1/04/2002","16/06/2010","1","82912037","bunter.ahmed@linguistic.com","420111027","Jackson Bederfield","28/01/2010",""
"28","Ahmed","Alameddine","19","11 Bert Crest","BATHURST","2001","20181007_230450.jpg","1/05/2002","17/06/2010","1","82912038","uewantdss@cadburry.com","420111028","Betty Holmes","29/01/2010",""
"29","Yeo","Man","20","10 As St","NEW ENGLAND","2001","20180720_213552.jpg","1/06/2002","18/06/2010","2","82912039","blue.jank@rainbow.gov","420111029","Ursala Jones","30/01/2010","1/01/2016"
"30","Leo","Las","21","200 Call Ave","BALMAIN","2001","20171014_201326.jpg","1/07/2002","19/06/2010","1","82912040","bunter.ahmed@linguistic.com","420111030","Bob Ropes","31/01/2010",""
"31","Aop","Bart","19","3 Indigo St","YAGOONA","2001","20150723_214054.jpg","1/08/2002","20/06/2010","2","82912041","uewantdss@cadburry.com","420111031","Wendy Bones","1/02/2010",""
"32","Ahmed","Alameddine","19","11 Bert Crest","BANKSTOWN","2001","20181007_230450.jpg","1/09/2002","21/06/2010","2","82912042","blue.jank@rainbow.gov","420111032","Henry Lones","2/02/2010",""
"33","Yeo","Man","20","10 As St","EASTWOOD","2001","20180720_213552.jpg","1/10/2002","22/06/2010","4","82912043","bunter.ahmed@linguistic.com","420111033","Peter Pietre","3/02/2010",""
"34","Leo","Las","21","200 Call Ave","ARMADALE","2001","20171014_201326.jpg","1/11/2002","23/06/2010","4","82912044","uewantdss@cadburry.com","420111034","Luke Fake","4/02/2010",""
